Name,Paraffinic CH3,Paraffinic CH2,Paraffinic CH,Olefinic -CH=CH2,Naphthenic CH-CH2,Aromatic C-CH,Alcoholic OH,Ether O,Aldehydic CHO,Ketonic CO,Ester COO,MW,BI,FP
Butane,51.72,48.28,0,0,0,0,0,0,0,0,0,58,0,213
n-pentane,41.66666667,58.33333333,0,0,0,0,0,0,0,0,0,72,0,224
n-hexane,34.88372093,65.11627907,0,0,0,0,0,0,0,0,0,86,0,251
n-heptane,30,70,0,0,0,0,0,0,0,0,0,100,0,269
n-octane,26.31578947,73.68421053,0,0,0,0,0,0,0,0,0,114,0,286
n-nonane,23.4375,76.5625,0,0,0,0,0,0,0,0,0,128,0,304
n-decane,21.12676056,78.87323944,0,0,0,0,0,0,0,0,0,142,0,319
n-undecane,19.23076923,80.76923077,0,0,0,0,0,0,0,0,0,156,0,338
n-dodecane,17.64705882,82.35294118,0,0,0,0,0,0,0,0,0,170,0,347
N-tridecane,16.30434783,83.69565217,0,0,0,0,0,0,0,0,0,184,0,352
N-tetradecane,15.15151515,84.84848485,0,0,0,0,0,0,0,0,0,198,0,373.15
N-pentadecane,14.1509434,85.8490566,0,0,0,0,0,0,0,0,0,212,0,387
N-hexadecane,13.27433628,86.72566372,0,0,0,0,0,0,0,0,0,226,0,408.15
N-heptadecane,12.5,87.5,0,0,0,0,0,0,0,0,0,240,0,421.15
N-octadecane,11.81102362,88.18897638,0,0,0,0,0,0,0,0,0,254,0,438.15
N-nonadecane,11.19402985,88.80597015,0,0,0,0,0,0,0,0,0,268,0,441
N-eicosane,10.63829787,89.36170213,0,0,0,0,0,0,0,0,0,282,0,440
N-heneicosane,10.13513514,89.86486486,0,0,0,0,0,0,0,0,0,296,0,450
N-docosane,9.677419355,90.32258065,0,0,0,0,0,0,0,0,0,310,0,458
2-methylpentane,52.3255814,32.55813953,15.11627907,0,0,0,0,0,0,0,0,86,0.2,241
3-methylpentane,52.3255814,32.55813953,15.11627907,0,0,0,0,0,0,0,0,86,0.3,266
"2,2-dimethylbutane",69.76,16.27906977,0,0,0,0,0,0,0,0,0,86,0.5,225
"2,3-dimethylbutane",69.76744186,0,30.23255814,0,0,0,0,0,0,0,0,86,0.625,244
2-methylhexane,45,42,13,0,0,0,0,0,0,0,0,100,0.17,270
3-methylhexane,45,42,13,0,0,0,0,0,0,0,0,100,0.25,269
"2,4-dimethylpentane",60,14,26,0,0,0,0,0,0,0,0,100,0.4,261
"2,3-dimethylpentane",60,14,26,0,0,0,0,0,0,0,0,100,0.5,257.85
"3,3-dimethylpentane",60,28,0,0,0,0,0,0,0,0,0,100,0.6,267
"2,2-dimethylpentane",60,28,0,0,0,0,0,0,0,0,0,100,0.4,288
"2,2,3-trimethylbutane",75,0,13,0,0,0,0,0,0,0,0,100,0.75,266.85
2-methylheptane,39.47368421,49.12280702,11.40350877,0,0,0,0,0,0,0,0,114,0.142857143,277.4
3-methylheptane,39.47368421,49.12280702,11.40350877,0,0,0,0,0,0,0,0,114,0.214285714,280
4-methylheptane,39.47368421,49.12280702,11.40350877,0,0,0,0,0,0,0,0,114,0.285714286,279.7
"3,4-dimethylhexane",52.63157895,24.56140351,22.80701754,0,0,0,0,0,0,0,0,114,0.5,304.6
"2,4-dimethylhexane",52.63157895,24.56140351,22.80701754,0,0,0,0,0,0,0,0,114,0.416666667,283
"3,3-dimethylhexane",52.63157895,36.84210526,0,0,0,0,0,0,0,0,0,114,0.5,282.3
"2,5-dimethylhexane",52.63157895,24.56140351,22.80701754,0,0,0,0,0,0,0,0,114,0.333333333,299
"2,3,4-trimethylpentane",65.78947368,0,34.21052632,0,0,0,0,0,0,0,0,114,0.7,278
"2,3,3-trimethylpentane",65.78947368,12.28070175,11.40350877,0,0,0,0,0,0,0,0,114,0.8,284.4
"2,2,4-trimethylpentane",65.78947368,12.28070175,11.40350877,0,0,0,0,0,0,0,0,114,0.6,261
"2,2,3,3-tetramethylbutane",78.94736842,0,0,0,0,0,0,0,0,0,0,114,1,278
"3-Ethyl-2,4-dimethylpentane",58.59375,10.9375,30.46875,0,0,0,0,0,0,0,0,128,0.9,299.7
3-Ethyl-4-methylhexane,46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,128,0.666666667,297
"2,2,5-Trimethylhexane",58.59375,21.875,10.15625,0,0,0,0,0,0,0,0,128,0.5,286
"3,4-dimethylheptane",46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,128,0.5,333
"3,5-dimethylheptane",46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,128,0.428571429,327.9
"2,2-dimethylheptane",46.875,43.75,0,0,0,0,0,0,0,0,0,128,0.285714286,297.4
"2,6-dimethylheptane",46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,128,0.285714286,326.1
"2,5-dimethylheptane",46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,128,0.357142857,327.2
"2,2,3-trimethylhexane",58.59375,21.875,10.15625,0,0,0,0,0,0,0,0,128,0.583333333,298.4
"2,3,3-trimethylhexane",58.59375,21.875,10.15625,0,0,0,0,0,0,0,0,128,0.57,300.7
