Name,Paraffinic CH3,Paraffinic CH2,Paraffinic CH,Olefinic -CH=CH2,Naphthenic CH-CH2,Aromatic C-CH,Alcoholic OH,Ether O,Aldehydic CHO,Ketonic CO,Ester COO,MW,BI,FP,Predicted FP
Butane,51.72,48.28,0,0,0,0,0,0,0,0,0,58,0,213,213.16
n-pentane,41.66666667,58.33333333,0,0,0,0,0,0,0,0,0,72,0,224,237.65
n-hexane,34.88372093,65.11627907,0,0,0,0,0,0,0,0,0,86,0,251,253.08
n-heptane,30,70,0,0,0,0,0,0,0,0,0,100,0,269,269.50
n-octane,26.31578947,73.68421053,0,0,0,0,0,0,0,0,0,114,0,286,286.95
n-nonane,23.4375,76.5625,0,0,0,0,0,0,0,0,0,128,0,304,302.90
n-decane,21.12676056,78.87323944,0,0,0,0,0,0,0,0,0,142,0,319,317.96
n-undecane,19.23076923,80.76923077,0,0,0,0,0,0,0,0,0,156,0,338,332.80
n-dodecane,17.64705882,82.35294118,0,0,0,0,0,0,0,0,0,170,0,347,347.50
N-tridecane,16.30434783,83.69565217,0,0,0,0,0,0,0,0,0,184,0,352,362.79
N-tetradecane,15.15151515,84.84848485,0,0,0,0,0,0,0,0,0,198,0,373.15,378.72
N-pentadecane,14.1509434,85.8490566,0,0,0,0,0,0,0,0,0,212,0,387,391.09
N-hexadecane,13.27433628,86.72566372,0,0,0,0,0,0,0,0,0,226,0,408.15,402.76
N-heptadecane,12.5,87.5,0,0,0,0,0,0,0,0,0,240,0,421.15,414.32
N-octadecane,11.81102362,88.18897638,0,0,0,0,0,0,0,0,0,254,0,438.15,425.81
N-nonadecane,11.19402985,88.80597015,0,0,0,0,0,0,0,0,0,268,0,441,437.23
N-eicosane,10.63829787,89.36170213,0,0,0,0,0,0,0,0,0,282,0,440,446.34
N-heneicosane,10.13513514,89.86486486,0,0,0,0,0,0,0,0,0,296,0,450,456.39
N-docosane,9.677419355,90.32258065,0,0,0,0,0,0,0,0,0,310,0,458,467.99
2-methylpentane,52.3255814,32.55813953,15.11627907,0,0,0,0,0,0,0,0,86,0.2,241,244.65
3-methylpentane,52.3255814,32.55813953,15.11627907,0,0,0,0,0,0,0,0,86,0.3,266,244.61
"2,2-dimethylbutane",69.76,16.27906977,0,0,0,0,0,0,0,0,0,86,0.5,225,230.07
"2,3-dimethylbutane",69.76744186,0,30.23255814,0,0,0,0,0,0,0,0,86,0.625,244,243.15
2-methylhexane,45,42,13,0,0,0,0,0,0,0,0,100,0.17,270,266.13
3-methylhexane,45,42,13,0,0,0,0,0,0,0,0,100,0.25,269,266.09
"2,4-dimethylpentane",60,14,26,0,0,0,0,0,0,0,0,100,0.4,261,262.74
"2,3-dimethylpentane",60,14,26,0,0,0,0,0,0,0,0,100,0.5,257.85,262.59
"3,3-dimethylpentane",60,28,0,0,0,0,0,0,0,0,0,100,0.6,267,273.15
"2,2-dimethylpentane",60,28,0,0,0,0,0,0,0,0,0,100,0.4,288,273.54
"2,2,3-trimethylbutane",75,0,13,0,0,0,0,0,0,0,0,100,0.75,266.85,260.14
2-methylheptane,39.47368421,49.12280702,11.40350877,0,0,0,0,0,0,0,0,114,0.142857143,277.4,282.45
3-methylheptane,39.47368421,49.12280702,11.40350877,0,0,0,0,0,0,0,0,114,0.214285714,280,282.46
4-methylheptane,39.47368421,49.12280702,11.40350877,0,0,0,0,0,0,0,0,114,0.285714286,279.7,282.46
"3,4-dimethylhexane",52.63157895,24.56140351,22.80701754,0,0,0,0,0,0,0,0,114,0.5,304.6,292.77
"2,4-dimethylhexane",52.63157895,24.56140351,22.80701754,0,0,0,0,0,0,0,0,114,0.416666667,283,292.90
"3,3-dimethylhexane",52.63157895,36.84210526,0,0,0,0,0,0,0,0,0,114,0.5,282.3,288.24
"2,5-dimethylhexane",52.63157895,24.56140351,22.80701754,0,0,0,0,0,0,0,0,114,0.333333333,299,293.04
"2,3,4-trimethylpentane",65.78947368,0,34.21052632,0,0,0,0,0,0,0,0,114,0.7,278,276.81
"2,3,3-trimethylpentane",65.78947368,12.28070175,11.40350877,0,0,0,0,0,0,0,0,114,0.8,284.4,274.66
